class_name,num_files,total_duration_seconds,original_rms_mean,original_rms_std,original_peak_mean,original_peak_std,original_lufs_mean,original_lufs_std,original_crest_mean,original_crest_std,original_dynamic_range_mean,original_dynamic_range_std,rms_norm_consistency,peak_norm_consistency,lufs_norm_consistency,dynamic_norm_consistency,rms_gain_mean,rms_gain_std,peak_gain_mean,peak_gain_std,lufs_gain_mean,lufs_gain_std,dynamic_gain_mean,dynamic_gain_std
510,1873,18730.0,-23.90693236746638,2.154706129903525,-3.0901710208777877,2.5659908527741564,-35.07250652527084,4.008688384077802,12.495287126611403,8.003195670093866,20.81676136868177,4.0837175299344,2.1547080614905343,0.0,3.889952123542569,2.1667142366406873,4.636523848490592e-06,1.1049010359810024e-05,-19.909829434518564,2.565990854227729,3.0028749677041864,2.565990887264104,-0.19047905108528887,0.47336012667837823
100,2366,23660.0,-25.55539814940168,12.339981954483225,-3.480759933090195,14.33129138868103,-35.13328053965371,5.883609770725655,14.66700202695213,8.417715955925352,22.07463827761975,4.795922562432376,12.339982788633112,12.230127081435649,5.939606698546651,12.329005345258386,4.103363512972374e-06,1.190213630253038e-05,-20.78633277325819,2.652215518410956,2.124048728466587,2.650907131131806,-0.3682972148518837,0.6723907538313113
200,2368,23680.0,-25.841786738988514,12.372058657810992,-3.433129965595121,14.333995734609974,-36.6001624585809,5.793843847997427,15.561931680183154,9.81031048427606,22.408656823071272,5.083521985198522,12.37205967207324,12.225000851115846,5.828789039910043,12.36099415702006,4.4895349326933634e-06,1.3079328298657233e-05,-20.833269191935194,2.6760174935844683,2.079435155173518,2.6760175178874226,-0.24555095620794534,0.5471108768126701
514,4328,43280.0,-23.689405684109758,2.25288477906807,-4.302861733728754,2.940314513686582,-35.29152885470505,5.9955901752856064,11.095111338466461,10.42926455356993,19.38654396362093,4.419810718255529,2.2528856135708444,0.0,6.437829649816199,2.2845375699838426,2.649959584504974e-06,6.409943952573428e-06,-18.697138729135123,2.9403145208279056,4.05236821437513,2.801811758673184,-0.2857149050350703,0.7071870189411624
